@relation dataset-6-training
@attribute Release numeric
@attribute #AuthorsInRelease numeric
@attribute LOC numeric
@attribute AvgChurnInRelease numeric
@attribute AvgChurnFromStart numeric
@attribute AvgLOCAddedInRelease numeric
@attribute AvgLOCAddedFromStart numeric
@attribute #RevisionInRelease numeric
@attribute #RevisionFromStart numeric
@attribute #BugFixInRelease numeric
@attribute #BugFixFromStart numeric
@attribute Buggy {1,0}
@data
1,2,95,31,31,47,47,3,3,0,0,1
1,3,49,22,22,23,23,4,4,2,2,1
1,2,407,101,101,106,106,4,4,1,1,0
1,3,178,44,44,47,47,4,4,1,1,1
1,1,228,114,114,115,115,2,2,3,3,0
1,1,36,36,36,36,36,1,1,0,0,0
1,3,124,20,20,39,39,6,6,2,2,1
1,2,58,29,29,36,36,2,2,0,0,0
1,2,120,40,40,42,42,3,3,0,0,0
1,2,124,31,31,34,34,4,4,0,0,0
1,2,160,53,53,54,54,3,3,0,0,1
1,2,42,21,21,21,21,2,2,0,0,0
1,3,244,49,49,50,50,5,5,1,1,1
1,3,924,61,61,75,75,15,15,11,11,1
1,3,95,19,19,27,27,5,5,2,2,1
1,3,163,20,20,23,23,8,8,5,5,0
1,3,83,20,20,27,27,4,4,1,1,0
1,3,139,27,27,29,29,5,5,1,1,1
1,3,354,29,29,37,37,12,12,8,8,1
1,2,185,37,37,38,38,5,5,1,1,1
1,3,494,49,49,94,94,10,10,5,5,1
1,2,656,109,109,139,139,6,6,5,5,1
1,3,83,20,20,28,28,4,4,0,0,0
1,3,119,30,30,31,31,4,4,1,1,0
1,2,664,221,221,267,267,3,3,0,0,0
1,3,83,11,11,107,107,7,7,1,1,0
1,2,162,32,32,35,35,5,5,1,1,0
1,1,41,41,41,41,41,1,1,0,0,0
1,2,67,33,33,34,34,2,2,0,0,0
1,2,85,28,28,29,29,3,3,0,0,0
1,2,43,21,21,23,23,2,2,0,0,0
1,3,165,41,41,46,46,4,4,1,1,0
1,2,27,13,13,14,14,2,2,0,0,0
1,1,73,73,73,73,73,1,1,0,0,1
1,2,112,56,56,57,57,2,2,0,0,0
1,1,38,38,38,38,38,1,1,0,0,0
1,2,53,17,17,19,19,3,3,0,0,0
1,3,135,47,47,48,48,7,7,7,7,0
1,1,45,45,45,45,45,1,1,0,0,0
1,2,111,27,27,29,29,4,4,0,0,1
1,2,58,29,29,29,29,2,2,0,0,0
1,2,45,15,15,16,16,3,3,0,0,0
1,1,25,25,25,25,25,1,1,0,0,0
1,1,26,26,26,26,26,1,1,0,0,0
1,2,27,13,13,14,14,2,2,0,0,1
1,3,167,27,27,31,31,6,6,0,0,1
1,3,55,13,13,15,15,4,4,0,0,1
1,1,45,45,45,45,45,1,1,0,0,0
1,3,424,42,42,57,57,10,10,6,6,0
1,1,20,20,20,20,20,1,1,0,0,0
1,2,91,30,30,45,45,3,3,0,0,0
1,3,510,127,127,135,135,4,4,2,2,1
1,3,184,30,30,31,31,6,6,2,2,1
1,2,89,44,44,45,45,2,2,0,0,0
1,1,174,174,174,174,174,1,1,1,1,1
1,2,34,17,17,18,18,2,2,0,0,0
1,3,116,23,23,25,25,5,5,1,1,0
1,2,65,97,97,100,100,4,4,0,0,0
1,1,333,333,333,333,333,1,1,0,0,1
1,2,44,22,22,23,23,2,2,0,0,0
1,2,54,27,27,27,27,2,2,0,0,1
1,2,63,21,21,23,23,3,3,0,0,0
1,2,144,36,36,38,38,4,4,0,0,1
1,2,208,41,41,44,44,5,5,0,0,1
1,1,125,125,125,125,125,1,1,0,0,1
1,2,528,132,132,145,145,4,4,0,0,0
1,1,463,463,463,463,463,1,1,1,1,1
1,2,71,35,35,37,37,2,2,0,0,1
1,2,58,29,29,29,29,2,2,0,0,1
1,1,34,34,34,34,34,1,1,0,0,0
1,3,496,62,62,70,70,8,8,5,5,1
1,3,142,15,15,21,21,9,9,5,5,0
1,3,73,14,14,16,16,5,5,1,1,0
1,3,135,22,22,25,25,6,6,2,2,1
1,2,76,19,19,29,29,4,4,0,0,0
1,3,142,35,35,37,37,4,4,1,1,1
1,3,686,52,52,102,102,13,13,7,7,0
1,2,157,39,39,41,41,4,4,0,0,0
1,1,184,184,184,184,184,1,1,1,1,0
1,1,130,130,130,130,130,1,1,1,1,1
1,1,89,89,89,89,89,1,1,1,1,0
1,3,224,28,28,32,32,8,8,3,3,1
1,3,153,15,15,21,21,10,10,6,6,1
1,2,134,33,33,36,36,4,4,0,0,0
1,3,177,25,25,29,29,7,7,3,3,0
1,3,211,30,30,57,57,7,7,2,2,0
1,2,385,128,128,132,132,3,3,0,0,0
1,3,61,12,12,14,14,5,5,1,1,0
1,3,49,12,12,13,13,4,4,1,1,0
1,1,56,56,56,56,56,1,1,0,0,0
1,1,133,66,66,66,66,2,2,0,0,0
1,2,35,11,11,13,13,3,3,0,0,1
1,2,87,21,21,24,24,4,4,0,0,0
1,2,53,26,26,27,27,2,2,0,0,0
1,2,28,14,14,14,14,2,2,0,0,0
1,2,44,14,14,17,17,3,3,0,0,0
1,2,138,69,69,70,70,2,2,0,0,0
1,2,124,31,31,54,54,4,4,0,0,0
1,3,480,53,53,56,56,9,9,3,3,1
1,1,39,39,39,39,39,1,1,0,0,0
1,2,89,29,29,31,31,3,3,0,0,1
1,1,38,38,38,38,38,1,1,0,0,0
1,1,51,51,51,51,51,1,1,0,0,1
1,3,149,29,29,33,33,5,5,1,1,1
1,3,156,31,31,35,35,5,5,1,1,1
1,3,543,54,54,61,61,10,10,5,5,0
1,2,82,41,41,43,43,2,2,0,0,0
1,2,25,12,12,13,13,2,2,0,0,0
1,2,53,26,26,27,27,2,2,0,0,0
1,2,33,16,16,19,19,2,2,0,0,1
1,2,53,26,26,27,27,2,2,0,0,0
1,1,56,56,56,56,56,1,1,0,0,0
1,2,117,29,29,32,32,4,4,0,0,1
1,2,67,33,33,34,34,2,2,0,0,1
1,2,75,25,25,26,26,3,3,0,0,0
1,1,67,67,67,67,67,1,1,0,0,0
1,2,57,28,28,30,30,2,2,0,0,1
1,2,62,31,31,36,36,2,2,0,0,0
1,2,64,16,16,17,17,4,4,0,0,0
1,2,80,26,26,27,27,3,3,0,0,0
1,2,135,67,67,69,69,2,2,0,0,1
1,2,146,73,73,73,73,2,2,0,0,1
1,2,5731,2865,2865,5563,5563,2,2,2,2,1
1,1,39,39,39,39,39,1,1,0,0,1
1,3,347,58,58,60,60,6,6,2,2,1
1,2,69,34,34,35,35,2,2,0,0,0
1,2,70,35,35,36,36,2,2,0,0,0
1,2,634,211,211,223,223,3,3,0,0,1
1,2,93,15,15,19,19,6,6,4,4,1
1,1,71,71,71,71,71,1,1,1,1,1
1,2,165,41,41,45,45,4,4,0,0,1
1,2,330,66,66,70,70,5,5,0,0,1
1,2,79,26,26,26,26,3,3,0,0,1
1,2,93,47,47,60,60,2,2,0,0,0
1,1,32,32,32,32,32,1,1,0,0,1
1,2,89,44,44,45,45,2,2,0,0,0
1,2,36,9,9,11,11,4,4,0,0,0
1,2,57,28,28,30,30,2,2,0,0,0
1,1,34,34,34,34,34,1,1,0,0,0
1,2,58,29,29,29,29,2,2,0,0,0
1,3,261,100,100,103,103,6,6,7,7,1
1,2,35,17,17,18,18,2,2,0,0,0
1,1,134,67,67,67,67,2,2,0,0,0
1,1,37,37,37,37,37,1,1,0,0,0
1,2,60,30,30,36,36,2,2,0,0,0
1,1,48,48,48,48,48,1,1,0,0,0
1,3,63,15,15,22,22,4,4,1,1,0
1,2,139,46,46,50,50,3,3,0,0,1
1,2,214,107,107,116,116,2,2,0,0,1
1,2,103,25,25,28,28,4,4,0,0,1
1,3,303,50,50,62,62,6,6,4,4,1
1,2,52,26,26,28,28,2,2,0,0,0
1,2,94,47,47,50,50,2,2,0,0,1
1,2,37,18,18,19,19,2,2,0,0,0
1,2,77,25,25,26,26,3,3,0,0,0
1,2,29,14,14,16,16,2,2,0,0,1
1,2,36,18,18,18,18,2,2,0,0,0
1,2,68,34,34,37,37,2,2,0,0,1
1,1,100,100,100,100,100,1,1,0,0,0
1,1,26,26,26,26,26,1,1,0,0,0
1,2,67,33,33,35,35,2,2,0,0,0
1,2,47,23,23,24,24,2,2,0,0,1
1,1,29,29,29,29,29,1,1,0,0,1
1,2,144,48,48,49,49,3,3,0,0,0
1,2,32,16,16,16,16,2,2,0,0,0
1,2,65,32,32,33,33,2,2,0,0,0
1,2,76,19,19,21,21,4,4,0,0,0
1,2,90,22,22,24,24,4,4,0,0,1
1,2,205,68,68,84,84,3,3,0,0,0
1,2,387,129,129,152,152,3,3,0,0,1
1,3,72,39,39,42,42,4,4,1,1,0
