@relation dataset-4-testing
@attribute #AuthorsInRelease numeric
@attribute LOC numeric
@attribute AvgChurnInRelease numeric
@attribute AvgChurnFromStart numeric
@attribute AvgLOCAddedInRelease numeric
@attribute AvgLOCAddedFromStart numeric
@attribute #RevisionInRelease numeric
@attribute #RevisionFromStart numeric
@attribute #BugFixInRelease numeric
@attribute #BugFixFromStart numeric
@attribute Buggy {1,0}
@data
0,96,0,24,0,36,0,4,0,1,0
0,57,0,18,0,18,0,12,0,9,0
0,562,0,281,0,281,0,2,0,0,0
0,141,0,141,0,141,0,1,0,0,0
0,340,0,113,0,121,0,3,0,5,0
1,724,6,38,8,46,1,19,3,15,0
1,184,56,34,79,39,1,7,2,5,1
1,271,0,19,1,32,1,14,3,17,1
0,345,0,173,0,173,0,2,0,2,1
0,68,0,23,0,25,0,3,0,0,0
0,33,0,33,0,33,0,1,0,2,0
0,126,0,18,0,35,0,7,0,3,0
1,459,3,76,4,88,2,6,3,6,1
1,296,3,42,3,54,1,7,3,6,1
0,246,0,41,0,44,0,6,0,3,0
0,61,0,20,0,25,0,3,0,0,0
0,194,0,64,0,68,0,3,0,2,0
1,127,3,21,4,22,1,6,3,5,0
1,134,6,16,8,19,1,8,3,5,0
0,172,0,34,0,36,0,5,0,2,0
0,42,0,21,0,21,0,2,0,0,0
1,246,2,82,4,86,1,3,3,4,0
1,414,2,59,5,71,1,7,3,7,1
1,166,166,166,166,166,1,1,0,0,0
1,46,46,46,46,46,1,1,0,0,0
0,294,0,29,0,30,0,10,0,4,1
0,25,0,25,0,25,0,1,0,0,0
0,81,0,27,0,28,0,3,0,2,0
0,224,0,112,0,112,0,2,0,1,0
2,1124,3,20,4,41,2,54,6,69,1
0,46,0,23,0,24,0,2,0,1,0
0,96,0,16,0,22,0,6,0,3,0
1,250,2,17,3,20,1,14,3,19,0
1,142,3,17,4,22,1,8,3,7,0
0,123,0,41,0,43,0,3,0,2,0
0,28,0,14,0,15,0,2,0,1,0
2,171,85,85,86,86,2,2,4,4,0
2,312,77,28,85,30,2,11,4,10,0
2,175,87,87,92,92,2,2,4,4,0
2,274,137,137,138,138,2,2,4,4,0
2,321,-121,9,7,22,2,33,5,40,0
2,76,-4,18,1,21,2,4,5,6,0
1,48,-5,24,0,26,1,2,3,3,0
1,883,48,147,49,150,1,6,2,5,0
2,288,2,22,3,25,2,13,5,12,1
0,584,0,22,0,45,0,26,0,25,1
1,713,6,28,8,49,2,25,5,22,1
1,85,1,14,2,19,1,6,3,4,0
0,41,0,20,0,21,0,2,0,2,0
0,119,0,24,0,25,0,5,0,1,0
1,1137,1,63,2,89,1,18,3,19,0
0,83,0,10,0,93,0,8,0,2,0
0,162,0,32,0,35,0,5,0,1,0
1,592,592,592,592,592,1,1,0,0,0
0,35,0,17,0,21,0,2,0,0,0
0,67,0,33,0,34,0,2,0,0,0
0,91,0,18,0,21,0,5,0,2,0
0,43,0,21,0,23,0,2,0,0,0
0,165,0,41,0,46,0,4,0,1,0
0,25,0,25,0,25,0,1,0,2,0
0,27,0,13,0,14,0,2,0,0,0
0,81,0,27,0,27,0,3,0,4,0
0,119,0,40,0,41,0,3,0,0,0
0,165,0,83,0,83,0,2,0,2,0
0,38,0,38,0,38,0,1,0,0,0
0,65,0,16,0,20,0,4,0,0,0
2,154,0,23,2,25,2,19,6,19,0
0,22,0,22,0,22,0,1,0,0,0
0,95,0,95,0,95,0,1,0,0,0
0,76,0,76,0,76,0,1,0,0,0
0,45,0,45,0,45,0,1,0,0,0
1,429,429,429,429,429,1,1,0,0,0
1,70,70,70,70,70,1,1,0,0,0
0,65,0,22,0,22,0,3,0,0,0
1,236,2,39,8,47,1,6,3,8,0
0,50,0,12,0,14,0,4,0,1,0
0,3680,0,525,0,529,0,7,0,1,0
1,63,63,63,63,63,1,1,0,0,0
